blue,,red,,green,,clear,
X,Y,X,Y,X,Y,X,Y
305.2238536091422,0.0006543838646186906,399.5823086937654,0.012656849217782984,388,-4.598644975928323e-7,416,0.5258412154396721
313.0870581995275,0.0006543838646186906,403.87132937943005,0.025651999675344372,396,0.003709929522011768,424,0.5494961402733118
320.95026278991276,0.0006543838646186906,408.10536262040677,0.04612352675832987,404,0.011296645406346562,432,0.5748123634737246
328.813467380298,0.0006543838646186906,405.65842133179035,0.03404470101251955,412,0.03496227763095083,440,0.5991391086258451
336.6766719706833,0.0006543838646186906,409.590023626983,0.05810979445244813,420,0.051850235867501704,448,0.6152084393549392
344.5398765610685,0.0006543838646186906,411.3771155793433,0.06910453401781536,428,0.060953634800280376,456,0.6418681688318577
352.4030811514538,0.0006954039102546883,412.8067891412315,0.08002407016618307,436,0.07174495490119448,464,0.6830882378289087
360.26628574183906,0.0006954039102546883,414.4747416301011,0.09122749921372486,444,0.08827632150052078,472.00000000000006,0.7025120971246115
368.12949033222435,0.0029925264658843265,418.1204092129161,0.09856923279832819,452,0.1011610510190335,479.99999999999994,0.7136814993580416
375.9926949226096,0.004264147880607805,422.30390637377474,0.08480700748736858,460,0.12983100293516703,487.99999999999994,0.7279667247459759
383.8558995129949,0.0059869897973301445,422.099667293505,0.09947167380232536,468.00000000000006,0.18418079941981325,495.99999999999994,0.7483136384375507
391.67705488097164,0.010103472024119986,424.9351865245833,0.0711049449100094,475.99999999999994,0.23355956646518006,504,0.761960865179733
396.44496948851065,0.027248938266809963,430.59522749780234,0.04591527114202276,483.99999999999994,0.2598631156288881,520,0.7786883020111494
398.3909140588585,0.04194105979749607,434.9342367695471,0.03457796160579063,491.99999999999994,0.26655986719658753,528,0.8072602140515224
396.29405950142245,0.015995880932573092,438.5734058361716,0.023789689603459063,500,0.3210459926031206,536,0.8154759551973608
399.79675972804864,0.053266694397662406,443.13236488666837,0.013878615500117819,508,0.41046024106923507,544,0.8555685920333513
400.58308018708715,0.06686347219122202,448.78690711541867,0.007159479435099314,516,0.5138517481744821,552,0.8468240507643908
402.33168092816584,0.12397641798779113,456.7692511692946,0.005740869523512604,524,0.5898733033804149,560,0.8771598698448249
401.36940064612565,0.07894114096138627,464.63245575967983,0.0038539474242453853,532,0.6478846359256158,568,0.9024564793007359
402.6098527071758,0.13976301039255867,472.4956603500651,0.0038129273786091655,540,0.6465091143211701,576,0.9096287031247848
403.15649259848595,0.15733202586630746,480.35886494045036,0.004674348336970224,548,0.6518657359239706,584,0.9056907863361278
404.50206771555725,0.20771150951706296,488.22206953083565,0.006069029888602584,556,0.5791545059239158,592,0.9256146774965408
403.72836202324123,0.17347183613010564,496.0852741212209,0.007422691394598502,564,0.5124340499375167,600,0.9533947969084688
404.5861661603742,0.19397730116537815,503.9484787116061,0.012796317372946175,580,0.3269438927155077,608,0.9761999863972393
404.30023144799657,0.18538405738287034,511.7163717311989,0.020086946817360785,588,0.23919547790327067,624,0.871913437684803
405.9761265677655,0.2309272467179352,516.4581223781281,0.03103656433252855,596,0.14567195329998395,640,0.329648351301164
407.0880948936786,0.26515420187995864,520.9395991202009,0.0420972515097261,604,0.08629963087849779,712,0.05273949410228651
406.3732581127345,0.25063054197187673,524.1068759342302,0.053311816447862204,612,0.06421985228094873,768,0.13234944525849035
407.44551328415065,0.278957162375126,527.538092482762,0.06378013209423128,620,0.050842671781964,840,0.09565875287157599
407.8029316746227,0.2919172179047541,531.886682900172,0.07409052056490062,628,0.04619317563841685,856,0.07095834327958739
409.813410121028,0.32894550035001924,534.8055997556937,0.08473180407036918,636,0.02476155253666512,303.2258064516129,0
408.33905926033077,0.3176367865186779,542.5496648825883,0.08458139723636948,644,0.013420784137005759,335.48387096774195,0
411.22994330091365,0.36590410904129933,550.4128694729736,0.0782643102083882,652,0.01387674905615266,354.8387096774194,0.002036199095022617
410.66227879839914,0.35102710366657874,559.9043133977316,0.10316499717053662,660,0.018597962032399273,366.1290322580645,0.006108597285067852
412.8067891412315,0.3811686332000893,561.6303081893275,0.11988072420041862,716,0.012700028458558998,383.8709677419355,0.006108597285067852
414.21543809191553,0.3993076973804355,562.9225131394955,0.13372683024572363,724,0.017059272557785166,395.16129032258067,0.018325791855203777
413.16420753170354,0.3888544224174665,564.5904656283653,0.1468498265121847,740,0.02458712777795946,396.7741935483871,0.04276018099547518
415.56865852215196,0.41405440378666447,565.0995160632799,0.15985318097887335,748,0.029290612684058193,400,0.07737556561085979
418.29803532212037,0.42541695642790334,567.2353617178585,0.17536696223850012,756,0.04093995909449055,403.2258064516129,0.13846153846153852
421.50396997605156,0.43747343150782214,568.6412073870486,0.19298712284154773,764,0.05839825799670473,403.2258064516129,0.17714932126696836
426.50782744266036,0.44817487774689035,570.1033735298888,0.20924131592490858,772,0.07032784532041414,401.61290322580646,0.2280542986425339
429.34551284580215,0.4611864362227064,571.3533822323952,0.22599921103924392,780,0.05742345103615576,401.61290322580646,0.2708144796380091
432.1073822267226,0.4724054187042185,572.7830557942835,0.2462775912467131,796,0.04286453527050038,406.4516129032258,0.3095022624434389
434.72845042351776,0.4845883722581823,574.1905981864832,0.2929858980410668,804,0.04785307278226347,408.06451612903226,0.3542986425339366
436.2989251695313,0.49752563887356815,573.7471843937922,0.2652629782509761,812,0.05853701880009432,409.6774193548387,0.40520361990950227
438.8983316456917,0.5072246007751152,572.9302280727132,0.25830129050585393,820.0000000000001,0.06957542818489981,411.2903225806451,0.4561085972850679
441.9226411035322,0.5177183698856994,574.4313853126959,0.2802937777732688,828.0000000000001,0.0871532807194707,412.9032258064516,0.5049773755656108
449.62088335985345,0.5263826712558083,574.2407621711108,0.3213718895630001,859.9999999999999,0.07795709796255501,509.67741935483866,0.7757918552036199
453.9099040455181,0.5382084085790232,574.3599016346014,0.3086875798957044,867.9999999999999,0.07445624085661906,514.516129032258,0.7554298642533938
456.7692511692946,0.547934717177661,580.6462603846688,0.4602622787239604,875.9999999999999,0.07124725436953516,533.8709677419355,0.7900452488687784
461.15358342575183,0.5589645516709615,580.0785958821543,0.4451065783332995,884,0.07039040039048328,588.7096774193548,0.9407239819004526
468.9214764453445,0.5643928710434909,580.0785958821543,0.4358001554795772,892,0.07007538558184156,595.1612903225806,0.9122171945701358
475.35500747384157,0.5533694174461783,582.2231062249867,0.48207845821581474,900,0.06675281005000522,612.9032258064516,0.9366515837104074
477.14209942620187,0.5409458129578151,580.9125721265891,0.4227962312900324,908,0.06684256346422435,614.5161290322579,0.8938914027149322
478.8577077004677,0.5303872532110464,580.0785958821543,0.41002418430290366,916,0.06722235810489086,619.3548387096774,0.9122171945701358
481.2779408016643,0.5172696286172281,583.0911223161331,0.5046032245254086,924,0.0678575786215857,627.4193548387096,0.7941176470588236
482.5828015922765,0.50336415870246,583.2953613964029,0.4945152233021529,932,0.06839368445503446,629.0322580645161,0.726923076923077
483.93304884517096,0.4940389349944876,584.7250349582911,0.5272005084156809,940,0.06732844200943933,632.258064516129,0.6576923076923078
